NO.	Name	Nerlé	Óle	Description	Evo. Name	Evo. Nerle	Evo. Ól	NG
85	ertá	er	tá	see, look at	erta	er	ta	-1.0
87	hára	há	ra	water	ára	á	ra	-1.0
88	kjó	kjó	 	he, she, it	kjó	kjó	 	-1.0
89	hus	hus	 	wind	us	us	 	-1.0
90	ip	ip	 	(domesticated) animal	ip	ip	 	-1.0
91	ítlása	í	tlá, sa	city, capital (Mjetta)	ítlás	í	tlás	-1.0
92	immé	im	mé	seed	imme	im	me	-1.0
93	ísin	í	sin	sun	íshin	í	shin	-1.0
94	jáhuweskí	já	hu, wes, kí	star	jauweschi	jau	wes, chi	-1.0
95	kanutor	kan	u, tor	mountain	kanudhor	kan	u, dhor	-1.0
96	síka	sí	ka	light	shíq	shíq	 	-1.0
97	kerxí	ker	xí	wait, stand still	cherxi	cher	xi	-1.0
98	kinlé	kin	lé	permit, allow	chinle	chin	le	-1.0
99	ké	ké	 	of, from	ché	ché	 	-1.0
100	kjutí	kju	tí	five, 5	kjudhi	kju	dhi	-1.0
101	lotwé	lot	wé	tree crown, head (informal)	lotwe	lot	we	-1.0
102	jattló	jat	tló	create, make (abstract)	jattlo	jat	tlo	-1.0
103	mun	mun	 	thousand, 1000	mun	mun	 	-1.0
104	mutas	mu	tas	trade	mudhas	mu	dhas	-1.0
105	nertí	ner	tí	one, 1	nerchi	ner	chi	-1.0
106	ní	ní	 	direction	ní	ní	 	-1.0
107	niksó	nik	só	market stall, shop	nikzo	nik	zo	-1.0
108	njippá	njip	pá	cat	njippa	njip	pa	-1.0
109	óhi	ó	hi	ten, 10	oi	oi	 	-1.0
110	pastíhi	pas	tí, hi	grow, arise, get up	faschi	fas	chi	-1.0
111	ransó	ran	só	artificial, man-made	ranzo	ran	zo	-1.0
112	ruwan	ru	wan	book, study	ruwan	ru	wan	-1.0
113	sukal	su	kal	soil	suqal	su	qal	-1.0
114	soltu	sol	tu	emptiness	soltu	sol	tu	-1.0
115	tarríhlu	tar	rí, hlu	metal	tarríhlu	tar	rí, hlu	-1.0
116	tassí	tas	sí	feeling, emotion	tasshi	tas	shi	-1.0
117	tuháni	tu	há, ni	six, 6	twán	twán	 	-1.0
118	ukí	u	kí	nine, 9	uqi	u	qi	-1.0
120	wéron	wé	ron	woman, girl	wéron	wé	ron	-1.0
121	wessal	wes	sal	man, boy	wessal	wes	sal	-1.0
122	xáhi	xá	hi	sand	xai	xai	 	-1.0
123	xíni	xí	ni	person, human	xín	xín	 	-1.0
124	sjut	sjut	 	sit down	shut	shut	 	-1.0
125	olpí	ol	pí	four, 4	olpi	ol	pi	-1.0
149	as	as	 	tree root, leg	as	as	 	-1.0
150	kómil	kó	mil	move, go	kómil	kó	mil	-1.0
151	put	put	 	spit	fut	fut	 	-1.0
152	tentlé	ten	tlé	moon	tendle	ten	dle	-1.0
156	juk	juk	 	from	xuk	xuk	 	-1.0
161	sóra	só	ra	laugh, smile	zóra	zó	ra	-1.0
162	ukwó	uk	wó	fire	ukwo	uk	wo	-1.0
169	ris	ris	 	feather	ris	ris	 	-1.0
172	pakkel	pak	kel	dog	fakkel	fak	kel	-1.0
173	sáru	sá	ru	rope	záru	zá	ru	-1.0
176	mótja	mó	tja	night	mócha	mó	cha	-1.0
177	tjári	tjá	ri	day	chári	chá	ri	-1.0
178	kóham	kó	ham	old	kóam	kó	am	-1.0
180	pel	pel	 	sea	fel	fel	 	-1.0
183	sentar	sen	tar	hear,listen to	sendar	sen	dar	-1.0
184	panné	pan	né	warm, hot	fanne	fan	ne	-1.0
186	komil	kom	il	cry	komil	kom	il	-1.0
188	mó	mó	 	tooth	mó	mó	 	-1.0
189	ríma	rí	ma	black	rím	rím	 	-1.0
190	ékális	é	ká, lis	fruit	éqális	é	qá, lis	-1.0
191	kírel	kí	rel	forest	chírel	chí	rel	-1.0
192	hlantó	hlan	tó	bite	hlando	hlan	do	-1.0
193	táhi	tá	hi	(general) counter	tai	tai	 	-1.0
195	aktlu	ak	tlu	hit	attlu	at	tlu	-1.0
196	hípéna	hí	pé, na	kill	ívén	í	vén	-1.0
199	lékat	lé	kat	eat	léqat	lé	qat	-1.0
200	sil	sil	 	tail	shil	shil	 	-1.0
201	sípol	sí	pol	left	shívol	shí	vol	-1.0
202	enká	en	ká	public building	enga	en	ga	-1.0
203	pjel	pjel	 	door (soft material, often cloth or feathers)	fjel	fjel	 	-1.0
204	ertósa	er	tó, sa	read, observe	ertós	er	tós	-1.0
205	uhó	u	hó	white	wó	wó	 	-1.0
206	sólot	só	lot	run, go quickly	zólot	zó	lot	-1.0
207	míxin	mí	xin	fish	míxin	mí	xin	-1.0
208	jíme	jí	me	right	xím	xím	 	-1.0
209	íta	í	ta	bird	ídha	í	dha	-1.0
210	emjut	em	jut	animal footprints	emxut	em	xut	-1.0
211	krópi	kró	pi	cold	króv	króv	 	-1.0
212	antan	an	tan	lie down	andan	an	dan	-1.0
213	imet	im	et	bad	imet	im	et	-1.0
214	xímes	xí	mes	fat	xímes	xí	mes	-1.0
215	suntá	sun	tá	fall	sunda	sun	da	-1.0
216	káhi	ká	hi	turn	kai	kai	 	-1.0
217	sanpé	san	pé	dry	sambe	sam	be	-1.0
194	humí	hu	mí	sharp	umi	u	mi	-1.0
34	tjenné	tjen	né	want	chenne	chen	ne	-1.0
75	pahhu	pah	hu	intend	fau	fau	 	-1.0
119	ítas	í	tas	together, as one, unity particle	ídhas	í	dhas	-1.0
